Info[2023-11-4 9:26:6]CELLLog::setLogPath success,<clientLog.txt,w>
Debug[2023-11-4 9:26:6]thread<1>,start
Debug[2023-11-4 9:26:6]thread<2>,start
Debug[2023-11-4 9:26:6]thread<3>,start
Debug[2023-11-4 9:26:6]thread<4>,start
Debug[2023-11-4 9:26:7]thread<4>,Connect<begin=750, end=1000>
Debug[2023-11-4 9:26:7]thread<3>,Connect<begin=500, end=750>
Debug[2023-11-4 9:26:7]thread<2>,Connect<begin=250, end=500>
Debug[2023-11-4 9:26:7]thread<1>,Connect<begin=0, end=250>
Debug[2023-11-4 9:26:7]thread<4>,clients<1000>,time<1.013031>,send<4935>
Debug[2023-11-4 9:26:8]thread<4>,clients<1000>,time<1.011812>,send<9636>
Debug[2023-11-4 9:26:9]thread<4>,clients<1000>,time<1.014241>,send<9120>
Debug[2023-11-4 9:26:10]thread<4>,clients<1000>,time<1.001785>,send<9898>
Debug[2023-11-4 9:26:11]thread<4>,clients<1000>,time<1.014453>,send<8871>
Debug[2023-11-4 9:26:12]thread<4>,clients<1000>,time<1.011999>,send<9881>
Debug[2023-11-4 9:26:13]thread<4>,clients<1000>,time<1.010486>,send<8906>
Debug[2023-11-4 9:26:14]thread<4>,clients<1000>,time<1.014718>,send<9854>
Debug[2023-11-4 9:26:15]thread<4>,clients<1000>,time<1.005285>,send<8952>
Debug[2023-11-4 9:26:16]thread<4>,clients<1000>,time<1.003082>,send<9969>
Debug[2023-11-4 9:26:17]thread<4>,clients<1000>,time<1.011849>,send<8894>
Debug[2023-11-4 9:26:18]thread<4>,clients<1000>,time<1.004546>,send<9954>
Debug[2023-11-4 9:26:19]thread<4>,clients<1000>,time<1.000961>,send<8991>
Debug[2023-11-4 9:26:20]thread<4>,clients<1000>,time<1.002206>,send<9977>
Debug[2023-11-4 9:26:21]thread<4>,clients<1000>,time<1.014842>,send<8868>
Debug[2023-11-4 9:26:22]thread<4>,clients<1000>,time<1.014571>,send<9856>
Debug[2023-11-4 9:26:23]thread<4>,clients<1000>,time<1.006465>,send<8942>
Debug[2023-11-4 9:26:24]thread<4>,clients<1000>,time<1.010540>,send<9648>
Debug[2023-11-4 9:26:25]thread<4>,clients<1000>,time<1.011878>,send<9141>
Debug[2023-11-4 9:26:26]thread<4>,clients<1000>,time<1.012392>,send<9630>
Debug[2023-11-4 9:26:27]thread<4>,clients<1000>,time<1.008778>,send<9177>
Debug[2023-11-4 9:26:28]thread<4>,clients<1000>,time<1.002051>,send<9500>
Debug[2023-11-4 9:26:29]thread<4>,clients<1000>,time<1.012518>,send<9135>
Debug[2023-11-4 9:26:30]thread<4>,clients<1000>,time<1.002216>,send<9527>
Debug[2023-11-4 9:26:31]thread<4>,clients<1000>,time<1.013905>,send<9123>
Debug[2023-11-4 9:26:32]thread<4>,clients<1000>,time<1.013851>,send<9616>
Debug[2023-11-4 9:26:33]thread<4>,clients<1000>,time<1.014350>,send<9365>
Debug[2023-11-4 9:26:34]thread<4>,clients<1000>,time<1.004075>,send<9461>
Debug[2023-11-4 9:26:35]thread<4>,clients<1000>,time<1.005534>,send<9447>
Debug[2023-11-4 9:26:36]thread<4>,clients<1000>,time<1.003745>,send<9464>
Debug[2023-11-4 9:26:37]thread<4>,clients<1000>,time<1.004699>,send<9206>
Debug[2023-11-4 9:26:38]thread<4>,clients<1000>,time<1.000274>,send<9747>
Debug[2023-11-4 9:26:39]thread<4>,clients<1000>,time<1.001024>,send<9240>
Debug[2023-11-4 9:26:40]thread<4>,clients<1000>,time<1.000396>,send<9246>
Debug[2023-11-4 9:26:41]thread<4>,clients<1000>,time<1.013595>,send<9619>
Debug[2023-11-4 9:26:42]thread<4>,clients<1000>,time<1.014411>,send<9611>
Debug[2023-11-4 9:26:43]thread<4>,clients<1000>,time<1.000791>,send<9242>
Debug[2023-11-4 9:26:44]thread<4>,clients<1000>,time<1.006679>,send<9188>
Debug[2023-11-4 9:26:45]thread<4>,clients<1000>,time<1.002358>,send<9684>
Debug[2023-11-4 9:26:46]thread<4>,clients<1000>,time<1.012146>,send<9138>
Debug[2023-11-4 9:26:47]thread<4>,clients<1000>,time<1.000728>,send<9347>
Debug[2023-11-4 9:26:48]thread<4>,clients<1000>,time<1.011612>,send<9390>
Debug[2023-11-4 9:26:49]thread<4>,clients<1000>,time<1.012367>,send<9630>
Debug[2023-11-4 9:26:50]thread<4>,clients<1000>,time<1.014060>,send<9614>
Debug[2023-11-4 9:26:51]thread<4>,clients<1000>,time<1.000746>,send<9243>
Debug[2023-11-4 9:26:52]thread<4>,clients<1000>,time<1.000131>,send<9248>
Debug[2023-11-4 9:26:53]thread<4>,clients<1000>,time<1.014540>,send<9610>
Debug[2023-11-4 9:26:54]thread<4>,clients<1000>,time<1.001386>,send<9237>
Debug[2023-11-4 9:26:55]thread<4>,clients<1000>,time<1.000975>,send<9490>
Debug[2023-11-4 9:26:56]thread<4>,clients<1000>,time<1.011437>,send<9392>
Debug[2023-11-4 9:26:57]thread<4>,clients<1000>,time<1.000306>,send<9497>
Debug[2023-11-4 9:26:58]thread<4>,clients<1000>,time<1.002927>,send<9271>
Debug[2023-11-4 9:26:59]thread<4>,clients<1000>,time<1.002533>,send<9596>
Debug[2023-11-4 9:27:0]thread<4>,clients<1000>,time<1.000481>,send<9245>
Debug[2023-11-4 9:27:1]thread<4>,clients<1000>,time<1.004647>,send<9704>
Debug[2023-11-4 9:27:2]thread<4>,clients<1000>,time<1.011325>,send<9146>
Debug[2023-11-4 9:27:3]thread<4>,clients<1000>,time<1.002951>,send<9721>
Debug[2023-11-4 9:27:4]thread<4>,clients<1000>,time<1.000198>,send<9248>
Debug[2023-11-4 9:27:5]thread<4>,clients<1000>,time<1.000600>,send<9244>
Debug[2023-11-4 9:27:6]thread<4>,clients<1000>,time<1.010545>,send<9514>
Debug[2023-11-4 9:27:7]thread<4>,clients<1000>,time<1.005495>,send<9319>
Debug[2023-11-4 9:27:8]thread<4>,clients<1000>,time<1.005634>,send<8892>
Debug[2023-11-4 9:27:9]thread<4>,clients<1000>,time<1.000560>,send<9220>
Debug[2023-11-4 9:27:10]thread<4>,clients<1000>,time<1.002334>,send<9582>
Debug[2023-11-4 9:27:11]thread<4>,clients<1000>,time<1.001026>,send<9240>
Debug[2023-11-4 9:27:12]thread<4>,clients<1000>,time<1.010210>,send<9651>
Debug[2023-11-4 9:27:13]thread<4>,clients<1000>,time<1.011741>,send<9151>
Debug[2023-11-4 9:27:14]thread<4>,clients<1000>,time<1.012320>,send<9619>
Debug[2023-11-4 9:27:16]thread<4>,clients<1000>,time<1.013936>,send<9369>
Debug[2023-11-4 9:27:17]thread<4>,clients<1000>,time<1.003818>,send<9532>
Debug[2023-11-4 9:27:18]thread<4>,clients<1000>,time<1.004423>,send<9026>
Debug[2023-11-4 9:27:19]thread<4>,clients<1000>,time<1.014703>,send<9458>
Debug[2023-11-4 9:27:20]thread<4>,clients<1000>,time<1.013936>,send<9369>
Debug[2023-11-4 9:27:21]thread<4>,clients<1000>,time<1.003320>,send<9717>
Debug[2023-11-4 9:27:22]thread<4>,clients<1000>,time<1.005703>,send<9039>
Debug[2023-11-4 9:27:23]thread<4>,clients<1000>,time<1.004342>,send<9526>
Debug[2023-11-4 9:27:24]thread<4>,clients<1000>,time<1.000283>,send<9247>
Debug[2023-11-4 9:27:25]thread<4>,clients<1000>,time<1.002295>,send<9727>
Debug[2023-11-4 9:27:26]thread<4>,clients<1000>,time<1.013152>,send<9129>
Debug[2023-11-4 9:27:27]thread<4>,clients<1000>,time<1.000808>,send<9742>
